Time,L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd
1.9073486328125e-06,30.72172305,-3.95861585,-19.5595911590391,-101.115949099103,0.0041514177158049935,0.012287803299198043
0.02560138702392578,30.62159235,-4.45812441,-21.2605208021564,-99.3171954694834,0.019012884693081898,0.05641842942131961
0.05330228805541992,30.52580818,-4.9221616,-22.7030702191262,-97.3915078908752,0.04363135676950745,0.13130067164868298
0.07678699493408203,30.38857908,-5.42303301,-23.8835793937651,-95.3463949445114,0.07154871586830247,0.22301759704182478
0.10112595558166504,30.26188414,-5.89090576,-24.7985012613931,-93.1900580060889,0.09722898199487472,0.32224855594236446
0.12700676918029785,30.11914039,-6.36819661,-25.444739140841,-90.9312104116244,0.11684848303685513,0.4225233316655782
0.1503305435180664,29.97873142,-6.82168542,-25.8199937539801,-88.578871068253,0.12859244098051645,0.5190429167282916
0.1738269329071045,29.83813601,-7.26170002,-25.9231075103431,-86.1421343202561,0.1323276174089555,0.6080680408135616
0.19737553596496582,29.69530586,-7.69297703,-25.7543947081128,-83.6299189894004,0.129103410032166,0.6867015266469014
0.22278523445129395,29.60646323,-8.06127045,-25.3159476121859,-81.0507006698439,0.12063309109919162,0.7528564250339862
0.24606966972351074,29.42684934,-8.51471681,-24.6119098952238,-78.4122325211617,0.10883864505901863,0.8052840883003299
0.26982593536376953,29.30229238,-8.90651104,-23.6487105602259,-75.7212609205387,0.09551382033051278,0.8435614967454438
0.29328465461730957,29.18678927,-9.28323812,-22.4352531184684,-72.9832433798694,0.08212432893621185,0.8679966695022607
0.3173654079437256,29.11519472,-9.60873847,-20.983056405619,-70.2020770901368,0.069715336248572,0.8794901794710859
0.34090328216552734,28.98089137,-9.99378027,-19.3063449005503,-67.3798472559722,0.0588923815928745,0.8793964999934183
0.3645644187927246,28.89347347,-10.3265236,-17.4220876963001,-64.5166049540152,0.049860106752727895,0.8693897297781459
0.3879973888397217,28.81940638,-10.64046832,-15.3499863225612,-61.6101845205271,0.0424987936190657,0.8513166652976525
0.41143274307250977,28.75614864,-10.93746725,-13.112412427545,-58.65607038039,0.03645394444804175,0.8270564638184812
0.43488144874572754,28.7031968,-11.21767155,-10.7342969089309,-55.6473227269337,0.031227947576506022,0.7984073621385239
0.45848560333251953,28.66222939,-11.47880227,-8.24297245284496,-52.5745704889174,0.026266745599878783,0.7669989704854474
0.4819657802581787,28.6554083,-11.71601079,-5.66797162671519,-49.426078538264,0.021032696295361277,0.7342296198504166
0.5054161548614502,28.61451757,-11.94545293,-3.04078273649349,-46.1878941119708,0.015057169272123494,0.7012284032829522
0.5289981365203857,28.60566746,-12.15808002,-0.394565683153737,-42.8440749919616,0.007975507177068275,0.6688410813108484
0.5526175498962402,28.61069535,-12.34886158,2.23616986991155,-39.376999196664,-0.0004486906862070983,0.637633296340206
0.5760588645935059,28.62329097,-12.52514256,4.81592149906336,-35.7677529147104,-0.010314714148870275,0.6079077715498731
0.5994532108306885,28.65607353,-12.68154797,7.30858329084792,-31.9965902818944,-0.021588168547492206,0.579731801259305
0.6231718063354492,28.68602589,-12.81720095,9.67786391627585,-28.0434555115557,-0.034110824210212276,0.5529692038769529
0.6578037738800049,28.74114587,-12.95021279,11.8877293188571,-23.8885549806652,-0.047614562694536094,0.5273150730182169
0.6853106021881104,28.79184368,-13.04415753,13.9028649671189,-19.5129642875294,-0.06173781522512048,0.5023288023693123
0.7123029232025146,28.85964823,-13.12837682,15.6891516689402,-14.8992531750309,-0.0760447191440165,0.47746434710876606
0.7393708229064941,28.93611909,-13.19327518,17.2141479491384,-10.0321096748376,-0.09004209643538899,0.45210149980188785
0.7662596702575684,29.02418659,-13.2348826,18.4475710178434,-4.89894397361174,-0.10319603949204455,0.42557278933688325
0.7935059070587158,29.10839995,-13.2759577,19.3617674834644,0.509547590413563,-0.11494998018706992,0.3971857353555867
0.8221104145050049,29.20076753,-13.26972789,19.9321642704459,6.19887728536226,-0.12473927456867409,0.3662434160089279
0.8512728214263916,29.32646552,-13.21214652,20.1376897628419,12.1703368839808,-0.13199853942815198,0.33206208312763824
0.8758716583251953,29.42747632,-13.15343427,19.9611550762985,18.4206598568703,-0.13617916390174453,0.2939861253979341
0.8992185592651367,29.50712996,-13.09424424,19.3895856058901,24.9417871563731,-0.13676553040689574,0.2514095122418722
0.922821044921875,29.64088479,-12.92760514,18.4144936165791,31.7207455193318,-0.13330463018141125,0.20381869553092896
0.9463825225830078,29.69626818,-12.81446072,17.0320836217856,38.7396434721492,-0.12551046259701562,0.15082316616695193
0.9715616703033447,29.81948731,-12.57160289,15.2433835946882,45.9757862473533,-0.11339987811633057,0.09218630036088099
0.9948673248291016,29.8956544,-12.3352781,13.0542966355383,53.4019067903695,-0.09737086723984566,0.02792354283441345
1.0186042785644531,29.90191916,-12.1269212,10.4755695298081,60.9865061367055,-0.07813775358540387,-0.04157784992349085
1.0421662330627441,30.01453681,-11.73507112,7.52267661818714,68.6942928441537,-0.056594937011077845,-0.11523674887092583
1.0662105083465576,30.04693892,-11.3777525,4.21561950417497,76.4867080368997,-0.03357300386420805,-0.19033189832925795
1.089815616607666,30.06528627,-10.97266662,0.578645291272354,84.3225201006297,-0.009427130627938618,-0.26224190262087327
1.1136400699615479,30.07024925,-10.5192337,-3.36011179342815,92.1584712612021,0.016029531019707267,-0.3260387003085558
1.1409199237823486,30.02952289,-10.04774831,-7.5690584587055,99.9499572321031,0.043170249467234495,-0.377989666158058
