time,hip_flexion_power_r,hip_adduction_power_r,hip_rotation_power_r,hip_flexion_power_l,hip_adduction_power_l,hip_rotation_power_l,knee_power_r,knee_power_l,ankle_power_r,subtalar_power_r,ankle_power_l,subtalar_power_l
35,NaN,NaN,NaN,0.0196472910995218,0.0672496164931311,NaN,NaN,-0.833109319933513,NaN,NaN,0.0218472898691429,-0.00859985827010525
35.005,NaN,NaN,NaN,0.0315643888169539,0.058331025430879,NaN,NaN,-0.944937802209529,NaN,NaN,0.0207999447586542,-0.00791592802215622
35.01,NaN,NaN,NaN,0.0445684896345163,0.0485023973953715,NaN,NaN,-1.05306166796042,NaN,NaN,0.0192790148957364,-0.00702749824317363
35.015,NaN,NaN,NaN,0.0581292817156296,0.0380294825855568,NaN,NaN,-1.15497109860618,NaN,NaN,0.0173427043056817,-0.00597712671021132
35.02,NaN,NaN,NaN,0.0717019291955177,0.0272122120861625,NaN,NaN,-1.2481921082443,NaN,NaN,0.0150730352840049,-0.00481894985825104
35.025,NaN,NaN,NaN,0.0847509162228777,0.0163794871459326,NaN,NaN,-1.33037828308898,NaN,NaN,0.0125721382836328,-0.0036154971923841
35.03,NaN,NaN,NaN,0.0967731748032288,0.00588115458616656,NaN,NaN,-1.39939649903508,NaN,NaN,0.00995743791262941,-0.00243364129628226
35.035,NaN,NaN,NaN,0.107318933161994,-0.00392342833452596,NaN,NaN,-1.45340091193307,NaN,NaN,0.00735586892616541,-0.00133995343785981
35.04,NaN,NaN,NaN,0.11600880952469,-0.0126804905927184,NaN,NaN,-1.49089050837662,NaN,NaN,0.00489731378669899,-0.000395798402990634
35.045,NaN,NaN,NaN,0.12254591079925,-0.0200604035081714,NaN,NaN,-1.510747009631,NaN,NaN,0.00270750117685436,0.000347459787978429
35.05,NaN,NaN,NaN,0.126722067604561,-0.0257789874352704,NaN,NaN,-1.51225179207457,NaN,NaN,0.00090063655002235,0.000852761587240261
35.055,NaN,NaN,NaN,0.128417820372673,-0.0296203634270371,NaN,NaN,-1.49508252572421,NaN,NaN,-0.000427949663124803,0.00110080905256054
35.06,NaN,NaN,NaN,0.127596324928739,-0.0314597230030015,NaN,NaN,-1.4592922090212,NaN,NaN,-0.00120884895630351,0.00109237470485495
35.065,NaN,NaN,NaN,0.124291918062245,-0.0312841025757092,NaN,NaN,-1.40527496055213,NaN,NaN,-0.00140503256547685,0.000849241316906479
35.07,NaN,NaN,NaN,0.118594616134472,-0.0292091426682132,NaN,NaN,-1.33372410802094,NaN,NaN,-0.00101743394810969,0.000413652838880568
35.075,NaN,NaN,NaN,0.110632254613449,-0.0254899118607466,NaN,NaN,-1.24558863326111,NaN,NaN,-8.93543836658105e-05,-0.000153730713584532
35.08,NaN,NaN,NaN,0.100552261579304,-0.0205241847020946,NaN,NaN,-1.14203380224652,NaN,NaN,0.00129064161931856,-0.000777266957803663
35.085,NaN,NaN,NaN,0.0885051535374363,-0.0148470613121511,NaN,NaN,-1.02441082846717,NaN,NaN,0.0029877186157309,-0.00137093916674952
35.09,NaN,NaN,NaN,0.0746317238295691,-0.00911646222249799,NaN,NaN,-0.89423877440174,NaN,NaN,0.00482207180716871,-0.00184383439944158
35.095,NaN,NaN,NaN,0.0590555592114305,-0.00408976605860926,NaN,NaN,-0.753199761365527,NaN,NaN,0.00657298324448402,-0.00210612180244471
35.1,NaN,NaN,NaN,0.041881987680249,-0.000592609804196694,NaN,NaN,-0.603146175074593,NaN,NaN,0.0079860561210444,-0.00207512467739741
35.105,NaN,NaN,NaN,0.0232038716866066,0.000518432306665421,NaN,NaN,-0.446116211543945,NaN,NaN,0.00878395739212307,-0.00168107493089855
35.11,NaN,NaN,NaN,0.00311387700320759,-0.00160299533123936,NaN,NaN,-0.284352109006376,NaN,NaN,0.00868081364007321,-0.00087216438547772
35.115,NaN,NaN,NaN,-0.0182779538440764,-0.00775071197072911,NaN,NaN,-0.120314039805646,NaN,NaN,0.00740011796990245,0.00038143920636377
35.12,NaN,NaN,NaN,-0.0408232268714157,-0.0186253552264857,NaN,NaN,0.0433178809120373,NaN,NaN,0.00469562304546707,0.0020848682995247
35.125,NaN,NaN,NaN,-0.0643132994372057,-0.0347981603075794,NaN,NaN,0.203660536457226,NaN,NaN,0.000374242608167358,0.00421729053868422
35.13,NaN,NaN,NaN,-0.0884592792927619,-0.056681595688766,NaN,NaN,0.357669269876462,NaN,NaN,-0.00568049408831288,0.00673217201465235
35.135,NaN,NaN,NaN,-0.112876782976279,-0.0845087583043601,NaN,NaN,0.502207016805534,NaN,NaN,-0.0134863321205637,0.00955904141970931
35.14,NaN,NaN,NaN,-0.137078033388132,-0.118322743889354,NaN,NaN,0.634141142955398,NaN,NaN,-0.0229437561630953,0.0126066380456799
35.145,NaN,NaN,NaN,-0.160473269342681,-0.157976427798492,NaN,NaN,0.750464529355139,NaN,NaN,-0.0338234166709212,0.015767249298128
35.15,NaN,NaN,NaN,-0.18238255319155,-0.203142293296876,NaN,NaN,0.848433990951034,NaN,NaN,-0.0457618159133429,0.0189219822231002
35.155,NaN,NaN,NaN,-0.202057980701357,-0.253331204041987,NaN,NaN,0.925716124402977,NaN,NaN,-0.0582671860728753,0.0219466705035619
35.16,NaN,NaN,NaN,-0.218715139314575,-0.307918404927702,NaN,NaN,0.980528573876667,NaN,NaN,-0.0707368371596684,0.0247180940327641
35.165,NaN,NaN,NaN,-0.231571567961277,-0.366174606352398,NaN,NaN,1.01176381713503,NaN,NaN,-0.0824863406268824,0.0271201818567903
35.17,NaN,NaN,NaN,-0.239889087970107,-0.427299795988991,NaN,NaN,1.01908311298804,NaN,NaN,-0.092789814805252,0.029049879523804
35.175,NaN,NaN,NaN,-0.243016324018593,-0.490457437239852,NaN,NaN,1.00297024022409,NaN,NaN,-0.100929394651049,0.0304223867842461
35.18,NaN,NaN,NaN,-0.240427596720887,-0.554806933997699,NaN,NaN,0.964737919476934,NaN,NaN,-0.106250828825574,0.0311755090940616
35.185,NaN,NaN,NaN,-0.231754666017061,-0.619532621741187,NaN,NaN,0.906483976321791,NaN,NaN,-0.108221188311299,0.031272914341388
35.19,NaN,NaN,NaN,-0.216808496854614,-0.683868024968481,NaN,NaN,0.830998875093625,NaN,NaN,-0.106484019575723,0.0307061423930965
35.195,NaN,NaN,NaN,-0.19558921254,-0.747114636075311,NaN,NaN,0.741630673882785,NaN,NaN,-0.100907031260291,0.0294952770256631
35.2,NaN,NaN,NaN,-0.168283568087096,-0.808654962412085,NaN,NaN,0.642117203066711,NaN,NaN,-0.0916176241019178,0.0276882550007234
35.205,NaN,NaN,NaN,-0.135250473691872,-0.867960010447808,NaN,NaN,0.53639794592692,NaN,NaN,-0.0790222659603992,0.0253588527445394
35.21,NaN,NaN,NaN,-0.0969961921280585,-0.924591699034371,NaN,NaN,0.428419456408846,NaN,NaN,-0.0638068310799223,0.0226034544099689
35.215,NaN,NaN,NaN,-0.054141712410495,-0.978200905558514,NaN,NaN,0.321948123439535,NaN,NaN,-0.0469164707446299,0.0195367631171578
35.22,NaN,NaN,NaN,-0.0073853887404851,-1.02852195291613,NaN,NaN,0.220402789765303,NaN,NaN,-0.02951522992927,0.0162866671016912
35.225,NaN,NaN,NaN,0.042535810337742,-1.07536435799917,NaN,NaN,0.126717396155244,NaN,NaN,-0.0129273179593038,0.0129885119078365
35.23,NaN,NaN,NaN,0.0948831750671787,-1.11860260853392,NaN,NaN,0.0432407751473691,NaN,NaN,0.00143647819914892,0.00977905671075341
