time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
35.165,-13.26972789,5.98992895,1.24099042,-7.17113655,17.81561603,19.63504042,29.20076753,-12.05276878,-3.04476384,-5.8723152,-3.81693276,3.85577211
35.17,-13.21214652,5.67619166,1.26122614,-7.98718327,17.71816904,19.61930123,29.32646552,-11.76691626,-2.88795671,-6.71482287,-4.24325266,3.40564238
35.175,-13.15343427,5.3254247,1.27197988,-8.83445466,17.56689937,19.54239201,29.42747632,-11.44233682,-2.78722729,-7.58319748,-4.65153163,3.13913924
35.18,-13.09424424,4.95119622,1.25100243,-9.71032837,17.32573542,19.45282352,29.50712996,-11.08405799,-2.69823341,-8.46913473,-5.03565436,2.98849019
35.185,-12.92760514,4.61030599,1.3282584,-10.6787101,17.06216225,19.3078833,29.64088479,-10.76117447,-2.52611607,-9.37037492,-5.48420165,2.56017902
35.19,-12.81446072,4.21314725,1.3364191,-11.64651293,16.64891445,19.2156656,29.69626818,-10.38130533,-2.43845489,-10.26079989,-5.83094445,2.43590339
35.195,-12.57160289,3.8511537,1.42942262,-12.72011799,16.25527812,19.00301306,29.81948731,-10.02842499,-2.28624126,-11.14760098,-6.26548358,2.05990428
35.2,-12.3352781,3.46082629,1.49737342,-13.81864528,15.72239666,18.82968338,29.8956544,-9.64599781,-2.15545938,-12.01258422,-6.61342376,1.82488469
35.205,-12.1269212,3.04093628,1.56116986,-14.93615824,15.06717189,18.74322002,29.90191916,-9.23597127,-2.04400636,-12.84950073,-6.82468653,1.70505904
35.21,-11.73507112,2.65713586,1.69455097,-16.17357281,14.42503494,18.43373403,30.01453681,-8.84590659,-1.89874152,-13.6572065,-7.18793817,1.37659518
35.215,-11.3777525,2.24284863,1.8128142,-17.42373273,13.63117847,18.2360615,30.04693892,-8.42521265,-1.77585052,-14.42596838,-7.38795346,1.18332355
35.22,-10.97266662,1.82177579,1.94008087,-18.73107213,12.76087523,18.02101101,30.06528627,-7.99564807,-1.67013239,-15.15672464,-7.53811156,0.99980958
35.225,-10.5192337,1.39824707,2.0726103,-20.09140011,11.79699585,17.79300379,30.07024925,-7.56231334,-1.58045985,-15.8483288,-7.60568968,0.81752866
35.23,-10.04774831,0.95137306,2.19675178,-21.48990418,10.7453037,17.59885605,30.02952289,-7.10199575,-1.51441533,-16.48194424,-7.66119244,0.70227255
35.235,-9.52389864,0.50504851,2.33127836,-22.93856629,9.60289897,17.38829113,29.97784007,-6.64134248,-1.45786477,-17.07712074,-7.62495729,0.57667719
35.24,-8.960406,0.05205863,2.46094293,-24.43198024,8.37479364,17.18232963,29.89766943,-6.17079118,-1.42319089,-17.61529778,-7.53562567,0.47235301
35.245,-8.35244135,-0.40154151,2.60673253,-25.96489251,7.06650813,16.96315554,29.80650411,-5.69562352,-1.40072984,-18.12131973,-7.38070535,0.37695344
35.25,-7.70975244,-0.85725475,2.74629917,-27.53640123,5.68856258,16.75058448,29.6822436,-5.21544176,-1.39536734,-18.57033433,-7.1566483,0.29628989
35.255,-7.02494256,-1.31850566,2.89308688,-29.14137824,4.24337242,16.52449671,29.53930859,-4.730302,-1.40624166,-18.97678162,-6.87788687,0.23175381
35.26,-6.31330927,-1.7799885,3.03322682,-30.77368516,2.7442764,16.30499895,29.36628069,-4.24210875,-1.43733021,-19.33945388,-6.5538967,0.18538582
35.265,-5.57122138,-2.24393976,3.16983126,-32.42706248,1.19897352,16.0790337,29.16730567,-3.75133439,-1.4884602,-19.65946889,-6.18640069,0.15478689
35.27,-4.78070008,-2.69616825,3.31482051,-34.106585,-0.36154942,15.79995849,28.96459682,-3.2720174,-1.55831684,-19.95178576,-5.73116147,0.1319126
35.275,-4.00535757,-3.16805253,3.43669135,-35.785746,-1.9507385,15.60153643,28.69142865,-2.77096336,-1.64069308,-20.17755659,-5.33504059,0.13762307
35.28,-3.1941246,-3.62962135,3.55086,-37.47979333,-3.52336345,15.35574096,28.41222064,-2.2845096,-1.74943988,-20.38860452,-4.86620931,0.1411059
35.285,-2.32974332,-4.07025106,3.71240712,-39.18168515,-5.07219674,15.02601125,28.1267532,-1.8094051,-1.85026326,-20.54319478,-4.35629909,0.18133012
35.29,-1.46200275,-4.51047626,3.84992138,-40.87804261,-6.57452659,14.71162657,27.80974468,-1.33889515,-1.9791271,-20.67601426,-3.84324361,0.22853255
35.295,-0.59540019,-4.94963296,3.96758625,-42.56309256,-8.01420545,14.41726578,27.46105037,-0.86973304,-2.1350596,-20.78424917,-3.34405677,0.27498291
35.3,0.32802345,-5.34759518,4.13222921,-44.24115013,-9.35747374,13.98918737,27.1243098,-0.43349405,-2.27879398,-20.86168805,-2.75795133,0.36216979
35.305,1.21332861,-5.76605817,4.26115906,-45.89134992,-10.6228962,13.67437142,26.71914363,0.02014062,-2.4470381,-20.89493362,-2.30142373,0.43963171
