time,hip_flexion_velocity_r,hip_adduction_velocity_r,hip_rotation_velocity_r,knee_velocity_r,ankle_velocity_r,subtalar_velocity_r,hip_flexion_velocity_l,hip_adduction_velocity_l,hip_rotation_velocity_l,knee_velocity_l,ankle_velocity_l,subtalar_velocity_l
35,-101.115949099103,30.9687998306548,17.5949987360522,48.9790878724756,39.297305474898,38.1092093028094,-19.5595911590391,-39.4712855120149,-16.9459078045667,403.287686989603,36.4072045789797,69.0113262842439
35.005,-99.3171954694834,31.7568711504057,16.609757519809,47.4564678912243,40.0570425509835,39.7089776282921,-21.2605208021564,-39.5759100209965,-12.3993825788225,405.118852636144,37.0625224990624,68.1333976003464
35.01,-97.3915078908752,32.3057813142585,15.5670480616669,45.5646107963084,41.044155297558,41.54631458179,-22.7030702191262,-39.544763746018,-8.09039646810875,405.203721876227,37.2443496174818,66.4771251052723
35.015,-95.3463949445114,32.591058969834,14.4720196738785,43.2852405504832,42.2664141628208,43.5875698787565,-23.8835793937651,-39.3702499730919,-4.06637424212502,403.434309598791,36.9372062216271,64.0712097582356
35.02,-93.1900580060889,32.5894624572637,13.3296865135424,40.6052333097086,43.7256047805508,45.7908056742442,-24.7985012613931,-39.0411450553759,-0.367933576796882,399.719617902777,36.1370911667435,60.9548210769824
35.025,-90.9312104116244,32.2796612360436,12.1451009161431,37.5168000458102,45.4171882910672,48.1067042525001,-25.444739140841,-38.5431165005391,2.97183932562229,393.988746581088,34.8499500911958,57.1768887781152
35.03,-88.578871068253,31.64293462669,10.9235487758319,34.0175193004873,47.3300596464266,50.4797033682926,-25.8199937539801,-37.8594126362809,5.92798612985199,386.193647345023,33.0899906449146,52.795156922467
35.035,-86.1421343202561,30.6638597356104,9.67075716228928,30.1102190316857,49.4464006111637,52.8493299322373,-25.9231075103431,-36.9716911268099,8.48412142369535,376.311439198675,30.8779421317889,47.8750274626932
35.04,-83.6299189894004,29.3309591381153,8.39310283670397,25.8027113761005,51.7416227861947,55.151696783625,-25.7543947081128,-35.8609478054654,10.6327046102169,364.346214288061,28.23935382929,42.4882282659081
35.045,-81.0507006698439,27.6372789109555,7.09780925445004,21.1073889695665,54.1843951323235,57.321122247368,-25.3159476121859,-34.5085031590315,12.3751196674659,350.330277758787,25.2030188538303,36.7113473429152
35.05,-78.4122325211617,25.5808690063684,5.79311916343474,16.0406960695708,56.736750178409,59.2918281619714,-24.6119098952238,-32.8970015733393,13.7215480187072,334.324781165512,21.7995991379665,30.6242797950217
35.055,-75.7212609205387,23.1651407391364,4.48843011630882,10.6224919473058,59.3542633724714,60.9996692270102,-23.6487105602259,-31.0113782559968,14.6906252334791,316.419726148454,18.0605124208153,24.3086366512631
35.06,-72.9832433798694,20.3990802328185,3.19438113511209,4.87532772236669,61.9863008577593,62.3838449877864,-22.4352531184684,-28.8397506132534,15.308878829184,296.733332752491,14.0171248555552,17.8461652282766
35.065,-70.2020770901368,17.2973018920933,1.92288037248913,-1.17633911657336,64.5763322974251,63.3885456614313,-20.983056405619,-26.3741946982318,15.6099517910583,275.410784310109,9.70027377750429,11.3172289574799
35.07,-67.3798472559722,13.879932120224,0.68706585070453,-7.50696594414832,67.0623071425604,63.9644843283329,-19.3063449005503,-23.6113729837075,15.633624245489,252.622377568812,5.1401252891283,4.79939093303006
35.075,-64.5166049540152,10.1723203212445,-0.498805849230932,-14.0907539542728,69.3770948255204,64.0702707334867,-17.4220876963001,-20.5529868731178,15.4246536439119,228.561122186994,0.366351571884511,-1.63386003231422
35.08,-61.6101845205271,6.2045813986755,-1.61954485050301,-20.9024562597345,71.4489916322821,63.6735860214356,-15.3499863225612,-17.2060356843016,15.0314614505678,203.439847409752,-4.59140581492683,-7.91420900045358
35.085,-58.65607038039,2.01098113361966,-2.65928559259001,-27.9181369554724,73.2022992999003,62.752123082759,-13.112412427545,-13.5828728844187,14.5047012724852,177.487885292361,-9.70283703524314,-13.9794163556931
