time,Pelvis_V_ACCX,Pelvis_V_ACCY,Pelvis_V_ACCZ,Pelvis_V_GYROX,Pelvis_V_GYROY,Pelvis_V_GYROZ,LThigh_V_ACCX,LThigh_V_ACCY,LThigh_V_ACCZ,LThigh_V_GYROX,LThigh_V_GYROY,LThigh_V_GYROZ,RThigh_V_ACCX,RThigh_V_ACCY,RThigh_V_ACCZ,RThigh_V_GYROX,RThigh_V_GYROY,RThigh_V_GYROZ,LShank_V_ACCX,LShank_V_ACCY,LShank_V_ACCZ,LShank_V_GYROX,LShank_V_GYROY,LShank_V_GYROZ,RShank_V_ACCX,RShank_V_ACCY,RShank_V_ACCZ,RShank_V_GYROX,RShank_V_GYROY,RShank_V_GYROZ,LFoot_V_ACCX,LFoot_V_ACCY,LFoot_V_ACCZ,LFoot_V_GYROX,LFoot_V_GYROY,LFoot_V_GYROZ,RFoot_V_ACCX,RFoot_V_ACCY,RFoot_V_ACCZ,RFoot_V_GYROX,RFoot_V_GYROY,RFoot_V_GYROZ
35,0.987745424884398,8.39205942088188,-0.138787016944429,-38.1555038793158,-30.031708256926,-1.66717165978833,0.876575949699696,4.53998163351662,1.23303316737474,-7.11710751442985,6.56280598959113,-20.1964024141881,0.0495050035573618,9.1904828567607,-0.589383147082129,-3.24748353664835,-26.8515264932908,-98.3155381709689,-7.64865696960991,14.6781632646178,-1.19507990511679,-9.54152621801811,1.64568060713647,383.026973691264,-0.516578256268868,9.56390436401137,-0.285870468482282,-2.54982953455725,-26.9267988359687,-49.3376298193858,-13.8902971691626,24.8312307665498,0.194524813752256,-38.49575494293,-60.1371861624663,409.714544688897,0.0946488216543482,9.61169126630581,-1.64360690409407,19.9602440103131,-10.8999738529276,-11.6472417147752
35.005,1.01382425282242,8.47276886139131,-0.128196828484523,-39.759387278131,-29.0837235499828,-3.12605496272837,1.30397489291473,4.81000221469755,1.21295562758967,-7.60651752149639,2.83857640475125,-23.624306743188,0.148496821164372,9.30812217777581,-0.535740242305486,-3.70678981403069,-27.5606827673714,-97.9337126730706,-8.19015992935886,14.8512450214879,-0.855390053344163,-7.98864836635345,-1.4696619733656,381.431173381509,-0.413865008173234,9.56488404766033,-0.262163860924301,-3.10707272986961,-27.6348135004885,-50.4783974039233,-15.4469268433121,24.2904097891571,0.878234148812046,-34.8068629093008,-64.2593551264815,408.443348828895,0.113819416912147,9.66332170765964,-1.65508709479228,20.4308961672272,-10.7213047962143,-12.1537178237695
35.01,1.02776365742851,8.55624152175692,-0.117544094248838,-41.12350081568,-28.2642389892394,-4.52859540818993,1.76469271472045,5.1121454698078,1.16662061765635,-8.12490874831679,-0.845426617208402,-26.7001109311474,0.252184778301713,9.43231860278091,-0.490013042634087,-4.18580755321344,-28.435366239384,-97.3553465990931,-8.71727969767309,14.9523942967743,-0.519719116121339,-6.71462919234695,-4.66652355538211,378.441698778381,-0.305052224161359,9.56193409329992,-0.249397431279949,-3.68289636391843,-28.5049979794204,-51.7918486289718,-17.0011344122994,23.5696813015293,1.55680058735618,-30.9868384727164,-67.9159110185449,405.38061959451,0.137712994640522,9.71551004942601,-1.67251663966579,21.0082488473432,-10.5808436224986,-12.6157326909298
35.015,1.02942684563819,8.64311560977558,-0.104657807606167,-42.2233158244401,-27.5854152441974,-5.85350342946757,2.25526561381813,5.44548451853275,1.09469072111924,-8.67039389370308,-4.45348506361439,-29.3923545491777,0.358911063682907,9.56169783854415,-0.454106304049273,-4.68194707671536,-29.4673249007927,-96.5664029756459,-9.21573780906365,14.9755192890982,-0.197058991024175,-5.73633802204125,-7.89586460584903,373.982028501888,-0.192296291638897,9.55548212516115,-0.247926926781802,-4.27545828636419,-29.5292201504415,-53.2822200996682,-18.5285355019913,22.6726514331199,2.20846563810438,-27.1154579923225,-71.0275269457266,400.444175335035,0.165775000605236,9.76706111265769,-1.69583365966585,21.6647124638023,-10.490571923609,-13.0258839677738
35.02,1.01903972111245,8.73409320179721,-0.087481499817041,-43.0354054196521,-27.0541848427656,-7.08115857372217,2.77144370498721,5.80829041449789,0.998321046700784,-9.24123625833517,-7.95125058942498,-31.6723763795659,0.466920477793102,9.69490569223728,-0.429655698324239,-5.19273424927972,-30.6427063977932,-95.5559605899397,-9.66952799542656,14.9118132545271,0.103819418580356,-5.06247391835761,-11.1073931979694,367.989812971664,-0.0781237498826226,9.54628090990136,-0.257754810910306,-4.88262022289172,-30.6938779289257,-54.9517119568274,-20.0031276261515,21.6021228487568,2.81169990434716,-23.2674429200662,-73.5212469908867,393.577696133866,0.197006442834579,9.81693037462898,-1.72488526549939,22.3683115456776,-10.4616417965107,-13.3803954188487
35.025,0.997198075122621,8.82990706549581,-0.0641578290748412,-43.5380494194873,-26.6722730040132,-8.19404839965179,3.30825676998441,6.19803709130296,0.879179020821165,-9.83585349350338,-11.3064387003163,-33.5152779596742,0.574414450130748,9.83065273963621,-0.418002121974187,-5.71592190654178,-31.9422635210181,-94.3165420357032,-10.0613550747209,14.7584310562092,0.374832615697355,-4.69331825370506,-14.2512049801892,360.4190197963,0.0346405199303839,9.53540353534158,-0.278572950717009,-5.50193491676383,-31.9801088178923,-56.8006334288891,-21.3981437582328,20.3685261007393,3.34692625777016,-19.5104581504049,-75.3339075316001,384.750638304955,0.229999299461301,9.86423237239755,-1.75948420176443,23.0836007283327,-10.5041213124045,-13.679730092258
35.03,0.964861534714862,8.9312864755802,-0.0331048757614265,-43.7118620304711,-26.4363587079256,-9.17716670909996,3.86010174984973,6.61143617534047,0.739451293559229,-10.4528245479038,-14.4895392371286,-34.9008214094611,0.679614717096902,9.96775858049719,-0.420178204287187,-6.24957051790217,-33.3417202247676,-92.8443440572677,-10.3137428769951,14.5502643660785,0.609226988921367,-4.62086494394855,-17.2795139998076,351.241789542089,0.142973838721538,9.52422357386802,-0.309811895073569,-6.13063672627374,-33.3641557113873,-58.8276005788797,-22.6282220344379,19.0233900520371,3.79669337850539,-15.9035326409401,-76.4153569425752,373.957638764909,0.263008809241551,9.90823583616273,-1.79945592816542,23.7727449940133,-10.6267909835125,-13.9291686529913
35.035,0.923333789145954,9.03892287064735,0.00691917975743836,-43.540417688019,-26.3383680024683,-10.0183599325301,4.42084981099162,7.04449985445341,0.581833382017783,-11.0909020980979,-17.4745236855321,-35.8142325931125,0.780834362538528,10.1051936389418,-0.436905712844421,-6.79209588769558,-34.8122850020394,-91.1393536716471,-10.3153518560638,14.3316503396627,0.80205218928069,-4.82934240475736,-20.1483847619145,340.449948423629,0.243781473858875,9.51437982127621,-0.350691744261452,-6.76564337089929,-34.8178761352279,-61.0297707618442,-23.5744422281547,17.6293858501433,4.14569976127546,-12.4959819386627,-76.7312859982533,361.217521289536,0.294059737714067,9.94834624827891,-1.84467078308257,24.3967361883095,-10.8369950467069,-14.1393343597515
35.04,0.874229194133778,9.1534361594421,0.0567660341910518,-43.0108491911547,-26.365887415473,-10.7086111768671,4.98397012258233,7.49262888196298,0.409498305488657,-11.7490297861946,-20.239525167485,-36.2468832431894,0.876553068764969,10.242116307814,-0.468601909855358,-7.3422843264101,-36.3212928705941,-89.2053372577395,-10.1067954567479,14.0643382581865,0.950276088233503,-5.29611116364345,-22.8193680970534,328.056133736326,0.334041830166931,9.50772619038783,-0.400269918842419,-7.4035763495405,-36.3093765624316,-63.4030971498334,-24.2672478064616,16.1623434633207,4.38549042264449,-9.32686964808917,-76.2654984376505,346.572026405486,0.32108068501121,9.98407731185637,-1.89505716901043,24.916711660993,-11.1405469462234,-14.3266451185014
35.045,0.819426451538444,9.27534248740628,0.116864452133051,-42.1143920596078,-26.5026815228473,-11.2422525500271,5.54266678994993,7.95072184237321,0.226041585153885,-12.4263606767216,-22.7674629580749,-36.1968291319791,0.965492673609116,10.3779032398558,-0.515392454541804,-7.89927814914827,-37.8329525656828,-87.0496946789824,-9.84391012247611,13.6746218233868,1.05284277689785,-5.99288946275094,-25.2609442826092,314.094498511133,0.410963315878845,9.50626843349054,-0.457481796598371,-8.04080649682285,-37.8037487827624,-65.9425867363957,-24.8517734079388,14.5605291174592,4.51709901119984,-6.42499921774934,-75.0214813186436,330.084385220977,0.342057611407376,10.0150135831625,-1.95059332630189,25.2953355260877,-11.5416840861706,-14.5136732435344
