time,LShank_ACCX,LShank_ACCY,LShank_ACCZ,LShank_GYROX,LShank_GYROY,LShank_GYROZ,RShank_ACCX,RShank_ACCY,RShank_ACCZ,RShank_GYROX,RShank_GYROY,RShank_GYROZ,LAThigh_ACCX,LAThigh_ACCY,LAThigh_ACCZ,LAThigh_GYROX,LAThigh_GYROY,LAThigh_GYROZ,RAThigh_ACCX,RAThigh_ACCY,RAThigh_ACCZ,RAThigh_GYROX,RAThigh_GYROY,RAThigh_GYROZ,LPThigh_ACCX,LPThigh_ACCY,LPThigh_ACCZ,LPThigh_GYROX,LPThigh_GYROY,LPThigh_GYROZ,RPThigh_ACCX,RPThigh_ACCY,RPThigh_ACCZ,RPThigh_GYROX,RPThigh_GYROY,RPThigh_GYROZ,LPelvis_ACCX,LPelvis_ACCY,LPelvis_ACCZ,LPelvis_GYROX,LPelvis_GYROY,LPelvis_GYROZ,RPelvis_ACCX,RPelvis_ACCY,RPelvis_ACCZ,RPelvis_GYROX,RPelvis_GYROY,RPelvis_GYROZ
35,-5.24797201156616,-10.0969924926758,-3.33027744293213,226.985204158554,123.020326650662,-304.825195487416,0.810996472835541,-10.815411567688,-3.498042345047,-24.8932545150624,27.7808211470701,-28.4815131785488,1.67940592765808,-3.26742887496948,0.801735758781433,-3.97089738673475,74.3232566988165,10.1651716124704,-0.277268409729004,-9.15669631958008,-1.083979845047,-77.5868030465187,19.0008229973357,-25.9967552452953,0.418588697910309,-7.49252939224243,2.41307020187378,42.4823286373753,75.6624382290026,-26.2215128652183,2.84530544281006,-10.6241865158081,0.656424403190613,96.5107573873878,12.2233893546985,26.4397903431663,1.84977507591248,-7.24822044372559,3.04107093811035,-27.5999065114294,15.2673818328515,-0.2469388193352,-0.287223637104034,-8.72719955444336,2.69804620742798,-9.38599643856004,12.5208167722959,-18.1806470516114
35.005,-5.42107772827148,-11.0174741744995,-3.7346510887146,233.605009841752,127.025522259201,-306.641288146209,0.472061097621918,-10.9349546432495,-3.3248188495636,-22.8259577438801,34.3826361119943,-28.0980970943956,1.42639446258545,-3.35401129722595,0.693054676055908,-13.4380104325383,82.5373992890248,14.7572776924256,0.0102786468341947,-9.34761714935303,-0.658162295818329,-76.6197643732607,23.0311229661689,-25.3550179916376,0.0377858243882656,-7.6857795715332,2.83256936073303,45.0959346742265,77.0240432702338,-29.7963211786817,2.8542332649231,-10.7710084915161,0.875341355800629,100.936897554474,11.1401187910135,24.0979336277278,1.99073767662048,-7.30397605895996,3.17258858680725,-27.9625178393708,18.4664085061064,1.06190573196116,-0.36653271317482,-8.95785331726074,2.69985938072205,-6.96548113020554,11.1830448223998,-19.6097633901463
35.01,-5.30764818191528,-11.8185863494873,-4.41517734527588,239.341467159592,128.266690574797,-307.584974402695,-0.113147296011448,-10.8630304336548,-3.03557848930359,-21.2807264819076,38.1733706107839,-28.0117976542325,1.17246830463409,-3.44116735458374,0.551966428756714,-23.3952318130858,86.5042092344281,18.154065662909,0.0594245158135891,-9.432204246521,-0.322428375482559,-76.0288573874063,28.2003279507977,-25.0188514486152,-0.389161437749863,-7.9225926399231,3.67847323417664,50.4797322497461,83.9984177336255,-34.3159256543708,2.74890184402466,-10.7459306716919,1.15512669086456,106.098184642308,12.4031804242208,22.5492257994678,2.1449716091156,-7.31062746047974,3.30769276618958,-27.617393503252,21.6451017062022,1.94322851934318,-0.408197820186615,-9.15911293029785,2.7302417755127,-4.35221873724693,10.4102772197045,-21.1848101353932
35.015,-4.81294918060303,-12.3608913421631,-4.96062898635864,244.314391290495,125.982347467265,-307.576341043584,-0.777551054954529,-10.7301464080811,-2.76455020904541,-20.3419818672865,40.1114094670183,-28.1202695959887,0.96635627746582,-3.53043746948242,0.413414746522903,-33.6155512266886,87.370126957024,21.0387448324451,0.0595150925219059,-9.42794990539551,-0.170572385191917,-76.2389813270325,35.0758627467102,-24.5847451155367,-0.97243469953537,-8.09378433227539,4.7434139251709,56.8930339935779,99.1922418442106,-38.3373361319992,2.57598662376404,-10.5971593856812,1.49802196025848,110.666099045997,15.0704162526613,21.8058638686968,2.31557679176331,-7.28350257873535,3.48941540718079,-26.6955177483335,25.5020702569207,2.81403751115843,-0.419212311506271,-9.3458080291748,2.76430296897888,-1.85304782418421,9.80732690279603,-22.6672190249271
35.02,-3.92821455001831,-12.6595106124878,-5.20877075195313,248.662435074612,119.815929741172,-306.441655377148,-1.4915417432785,-10.559814453125,-2.51017713546753,-19.9467444332273,40.5924562751678,-28.4451782797116,0.807566106319427,-3.6282958984375,0.298313200473785,-45.0817210505637,85.2632799754527,23.7875544639168,0.0431431159377098,-9.32996559143066,-0.236424416303635,-77.257505966254,43.1906055939273,-24.0908951177881,-1.69511699676514,-8.18545055389404,5.72846269607544,61.4033938082255,122.014062201001,-41.6995889584918,2.36181831359863,-10.3328685760498,1.86819446086884,114.190893299263,18.9428432290188,21.9177867635312,2.51508784294128,-7.23055267333984,3.72487115859985,-25.1842598472927,29.817624538703,3.66253014052114,-0.405370831489563,-9.5141077041626,2.7931010723114,0.54997889152218,9.23105274346465,-24.0621417289296
35.025,-2.62692999839783,-12.7869882583618,-4.81015396118164,252.688585703525,108.654198524078,-303.602154493877,-2.23424887657166,-10.3695688247681,-2.22063279151917,-19.9305090735701,40.286696026783,-29.1064515819429,0.681248009204865,-3.75379681587219,0.256926208734512,-60.8484545985403,79.8692268708943,27.2342181832669,0.0347741656005383,-9.10915470123291,-0.604083716869354,-79.024865225319,51.0919835767569,-23.7897093885999,-2.48060274124146,-8.18961811065674,5.8321475982666,55.9400791703886,150.488874963974,-44.3992212279393,2.16227221488953,-9.94879722595215,2.16306829452515,115.752404317122,23.8937656130578,23.103581027979,2.78147101402283,-7.16698455810547,4.02399444580078,-22.9456704694629,33.7403148771626,4.30070203543211,-0.378727674484253,-9.64580345153809,2.79919791221619,3.01190595697958,8.4111730571956,-25.4633686975361
35.03,-1.53453087806702,-13.1061229705811,-4.19145679473877,254.852826764691,100.073056209386,-298.996503295024,-3.05214047431946,-10.0917196273804,-1.84584736824036,-19.8316455004288,39.875651827437,-30.2992280072697,0.501505851745605,-3.91996693611145,0.285648584365845,-77.2268247565023,71.4004821491847,30.2881426102468,-0.0468593426048756,-8.92302131652832,-1.18638157844543,-81.2163382507068,57.1824564294681,-24.3498070986558,-2.18497800827026,-8.5254545211792,3.7063467502594,30.0078145712366,161.754138188508,-46.7632521525183,2.00617003440857,-9.57151699066162,2.25000619888306,114.854808177155,29.3990534708917,25.0445158844215,3.08913660049438,-7.08331155776978,4.37220907211304,-20.1399995131509,37.0084203761357,4.68587475886252,-0.3127361536026,-9.70445919036865,2.79354071617126,6.77940073711818,7.4090545323605,-27.221112757797
35.035,-0.692440509796143,-13.4495506286621,-3.73549056053162,256.260064299768,96.945013984628,-293.123770042864,-3.6604962348938,-9.78245162963867,-1.51310062408447,-19.923654978738,38.4843832746404,-32.0514003407152,0.297283828258514,-4.09336090087891,0.370131224393845,-93.3331894609578,61.1674176025907,32.9924638045596,-0.191231787204742,-8.82959938049316,-1.7931045293808,-83.6791063899274,62.617733140762,-25.8471126307695,-0.799334347248077,-9.10471820831299,0.182152912020683,-1.52422202697228,156.48500241368,-46.9797691492077,1.89597713947296,-9.23286056518555,2.13244581222534,111.973117215381,35.1706111308766,27.1581247532711,3.41959571838379,-6.99495506286621,4.73504829406738,-17.1166897015783,39.7000408336868,4.90942087398151,-0.233975112438202,-9.70769596099854,2.784991979599,10.9237810867899,6.54504584763764,-28.9126039831088
35.04,-0.0964799299836159,-13.762885093689,-3.49387836456299,256.803282904837,99.4754419777668,-286.067173762243,-4.02679538726807,-9.458984375,-1.23994541168213,-20.411885438347,35.7964613645249,-34.3480446189428,0.088511124253273,-4.26017189025879,0.503499269485474,-108.670707091302,49.3894633034828,35.3172996885864,-0.381060361862183,-8.84760761260986,-2.34268355369568,-86.0909554688856,67.2462244921995,-28.269850738812,1.34528851509094,-9.75560188293457,-4.32463788986206,-31.338878421594,138.715350042543,-43.7600760310716,1.84401142597198,-8.94512367248535,1.80391705036163,107.168605058843,41.0739914418428,29.1758326435319,3.75953412055969,-6.90779590606689,5.09236240386963,-14.0025665485749,41.821767382365,4.9749919706741,-0.153004497289658,-9.66845703125,2.77611637115479,15.1896491574549,5.87840700492653,-30.4542596410507
35.045,0.31427788734436,-13.9596881866455,-3.32471680641174,254.877634011757,105.750213824852,-277.715928784825,-4.28399467468262,-9.14547634124756,-0.981014490127563,-21.9811060322318,31.2101908274418,-37.0916223255102,-0.0607531368732452,-4.38941526412964,0.66801929473877,-121.80438905386,35.7802601558136,37.0800656454346,-0.546217679977417,-9.00637817382813,-2.64467597007751,-87.1010448244821,69.2048290480249,-31.4871584133804,2.69513058662415,-9.76457500457764,-8.70473384857178,-40.1586231496561,126.594851511275,-32.9021857792049,1.90529477596283,-8.73384284973145,1.23078465461731,100.252314524153,46.7698603605403,30.426754469263,4.06531000137329,-6.83384943008423,5.38458824157715,-11.0400334677844,43.3262326602762,4.80825894218445,-0.092525340616703,-9.62953758239746,2.77002000808716,19.3138334915245,5.36533215909846,-31.8787980452944
